Move,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
D8,1,Infinity,-Infinity,Infinity
C7,2,-Infinity,-Infinity,Infinity
B6,3,5,-Infinity,Infinity
C7,2,5,5,Infinity
B7,3,5,5,Infinity
C7,2,5,5,Infinity
B8,3,5,5,Infinity
C7,2,5,5,Infinity
C6,3,5,5,Infinity
C7,2,5,5,Infinity
C8,3,10,5,Infinity
C7,2,10,10,Infinity
C9,3,10,10,Infinity
C7,2,10,10,Infinity
D6,3,5,10,Infinity
C7,2,10,10,Infinity
D7,3,10,10,Infinity
C7,2,10,10,Infinity
D9,3,11,10,Infinity
C7,2,11,11,Infinity
D10,3,10,11,Infinity
C7,2,11,11,Infinity
E7,3,10,11,Infinity
C7,2,11,11,Infinity
E8,3,15,11,Infinity
C7,2,15,15,Infinity
E10,3,10,15,Infinity
C7,2,15,15,Infinity
F7,3,505,15,Infinity
C7,2,505,505,Infinity
F8,3,10,505,Infinity
C7,2,505,505,Infinity
F10,3,15,505,Infinity
C7,2,505,505,Infinity
F11,3,11,505,Infinity
C7,2,505,505,Infinity
F12,3,10,505,Infinity
C7,2,505,505,Infinity
F13,3,6,505,Infinity
C7,2,505,505,Infinity
G7,3,55,505,Infinity
C7,2,505,505,Infinity
G13,3,6,505,Infinity
C7,2,505,505,Infinity
H5,3,5,505,Infinity
C7,2,505,505,Infinity
H6,3,55,505,Infinity
C7,2,505,505,Infinity
H7,3,12,505,Infinity
C7,2,505,505,Infinity
H12,3,10,505,Infinity
C7,2,505,505,Infinity
H13,3,10,505,Infinity
C7,2,505,505,Infinity
I5,3,5,505,Infinity
C7,2,505,505,Infinity
I11,3,6,505,Infinity
C7,2,505,505,Infinity
I12,3,5,505,Infinity
C7,2,505,505,Infinity
J5,3,5,505,Infinity
C7,2,505,505,Infinity
J6,3,20,505,Infinity
C7,2,505,505,Infinity
J7,3,57,505,Infinity
C7,2,505,505,Infinity
J10,3,55,505,Infinity
C7,2,505,505,Infinity
J11,3,505,505,Infinity
C7,2,505,505,Infinity
K5,3,5,505,Infinity
C7,2,505,505,Infinity
K6,3,6,505,Infinity
C7,2,505,505,Infinity
K9,3,55,505,Infinity
C7,2,505,505,Infinity
K10,3,5,505,Infinity
C7,2,505,505,Infinity
L5,3,5,505,Infinity
C7,2,505,505,Infinity
L7,3,10010,505,Infinity
C7,2,10010,10010,Infinity
L8,3,10,10010,Infinity
C7,2,10010,10010,Infinity
L9,3,5,10010,Infinity
C7,2,10010,10010,Infinity
M5,3,5,10010,Infinity
C7,2,10010,10010,Infinity
M6,3,5,10010,Infinity
C7,2,10010,10010,Infinity
M7,3,5,10010,Infinity
C7,2,10010,10010,Infinity
D8,1,10010,-Infinity,10010
C8,2,-Infinity,-Infinity,10010
B7,3,5,-Infinity,10010
C8,2,5,5,10010
B8,3,5,5,10010
C8,2,5,5,10010
B9,3,5,5,10010
C8,2,5,5,10010
C7,3,55,5,10010
C8,2,55,55,10010
C9,3,10,55,10010
C8,2,55,55,10010
D7,3,10,55,10010
C8,2,55,55,10010
D9,3,11,55,10010
C8,2,55,55,10010
D10,3,10,55,10010
C8,2,55,55,10010
E7,3,10,55,10010
C8,2,55,55,10010
E8,3,11,55,10010
C8,2,55,55,10010
E10,3,10,55,10010
C8,2,55,55,10010
F7,3,505,55,10010
C8,2,505,505,10010
F8,3,10,505,10010
C8,2,505,505,10010
F10,3,25,505,10010
C8,2,505,505,10010
F11,3,11,505,10010
C8,2,505,505,10010
F12,3,10,505,10010
C8,2,505,505,10010
F13,3,6,505,10010
C8,2,505,505,10010
G7,3,55,505,10010
C8,2,505,505,10010
G13,3,6,505,10010
C8,2,505,505,10010
H5,3,5,505,10010
C8,2,505,505,10010
H6,3,55,505,10010
C8,2,505,505,10010
H7,3,12,505,10010
C8,2,505,505,10010
H12,3,10,505,10010
C8,2,505,505,10010
H13,3,10,505,10010
C8,2,505,505,10010
I5,3,5,505,10010
C8,2,505,505,10010
I11,3,6,505,10010
C8,2,505,505,10010
I12,3,5,505,10010
C8,2,505,505,10010
J5,3,5,505,10010
C8,2,505,505,10010
J6,3,20,505,10010
C8,2,505,505,10010
J7,3,57,505,10010
C8,2,505,505,10010
J10,3,55,505,10010
C8,2,505,505,10010
J11,3,505,505,10010
C8,2,505,505,10010
K5,3,5,505,10010
C8,2,505,505,10010
K6,3,6,505,10010
C8,2,505,505,10010
K9,3,55,505,10010
C8,2,505,505,10010
K10,3,5,505,10010
C8,2,505,505,10010
L5,3,5,505,10010
C8,2,505,505,10010
L7,3,10010,505,10010
C8,2,10010,505,10010
D8,1,10010,-Infinity,10010
C9,2,-Infinity,-Infinity,10010
B8,3,5,-Infinity,10010
C9,2,5,5,10010
B9,3,5,5,10010
C9,2,5,5,10010
B10,3,5,5,10010
C9,2,5,5,10010
C7,3,55,5,10010
C9,2,55,55,10010
C8,3,10,55,10010
C9,2,55,55,10010
C10,3,5,55,10010
C9,2,55,55,10010
D7,3,10,55,10010
C9,2,55,55,10010
D9,3,10,55,10010
C9,2,55,55,10010
D10,3,10,55,10010
C9,2,55,55,10010
E7,3,6,55,10010
C9,2,55,55,10010
E8,3,15,55,10010
C9,2,55,55,10010
E10,3,10,55,10010
C9,2,55,55,10010
F7,3,505,55,10010
C9,2,505,505,10010
F8,3,10,505,10010
C9,2,505,505,10010
F10,3,25,505,10010
C9,2,505,505,10010
F11,3,11,505,10010
C9,2,505,505,10010
F12,3,10,505,10010
C9,2,505,505,10010
F13,3,6,505,10010
C9,2,505,505,10010
G7,3,55,505,10010
C9,2,505,505,10010
G13,3,6,505,10010
C9,2,505,505,10010
H5,3,5,505,10010
C9,2,505,505,10010
H6,3,55,505,10010
C9,2,505,505,10010
H7,3,12,505,10010
C9,2,505,505,10010
H12,3,10,505,10010
C9,2,505,505,10010
H13,3,10,505,10010
C9,2,505,505,10010
I5,3,5,505,10010
C9,2,505,505,10010
I11,3,6,505,10010
C9,2,505,505,10010
I12,3,5,505,10010
C9,2,505,505,10010
J5,3,5,505,10010
C9,2,505,505,10010
J6,3,20,505,10010
C9,2,505,505,10010
J7,3,57,505,10010
C9,2,505,505,10010
J10,3,55,505,10010
C9,2,505,505,10010
J11,3,505,505,10010
C9,2,505,505,10010
K5,3,5,505,10010
C9,2,505,505,10010
K6,3,6,505,10010
C9,2,505,505,10010
K9,3,55,505,10010
C9,2,505,505,10010
K10,3,5,505,10010
C9,2,505,505,10010
L5,3,5,505,10010
C9,2,505,505,10010
L7,3,10010,505,10010
C9,2,10010,505,10010
D8,1,10010,-Infinity,10010
D7,2,-Infinity,-Infinity,10010
C6,3,5,-Infinity,10010
D7,2,5,5,10010
C7,3,55,5,10010
D7,2,55,55,10010
C8,3,10,55,10010
D7,2,55,55,10010
C9,3,10,55,10010
D7,2,55,55,10010
D6,3,5,55,10010
D7,2,55,55,10010
D9,3,7,55,10010
D7,2,55,55,10010
D10,3,10,55,10010
D7,2,55,55,10010
E6,3,5,55,10010
D7,2,55,55,10010
E7,3,10,55,10010
D7,2,55,55,10010
E8,3,15,55,10010
D7,2,55,55,10010
E10,3,10,55,10010
D7,2,55,55,10010
F7,3,505,55,10010
D7,2,505,505,10010
F8,3,10,505,10010
D7,2,505,505,10010
F10,3,25,505,10010
D7,2,505,505,10010
F11,3,11,505,10010
D7,2,505,505,10010
F12,3,10,505,10010
D7,2,505,505,10010
F13,3,6,505,10010
D7,2,505,505,10010
G7,3,55,505,10010
D7,2,505,505,10010
G13,3,6,505,10010
D7,2,505,505,10010
H5,3,5,505,10010
D7,2,505,505,10010
H6,3,55,505,10010
D7,2,505,505,10010
H7,3,12,505,10010
D7,2,505,505,10010
H12,3,10,505,10010
D7,2,505,505,10010
H13,3,10,505,10010
D7,2,505,505,10010
I5,3,5,505,10010
D7,2,505,505,10010
I11,3,6,505,10010
D7,2,505,505,10010
I12,3,5,505,10010
D7,2,505,505,10010
J5,3,5,505,10010
D7,2,505,505,10010
J6,3,20,505,10010
D7,2,505,505,10010
J7,3,57,505,10010
D7,2,505,505,10010
J10,3,55,505,10010
D7,2,505,505,10010
J11,3,505,505,10010
D7,2,505,505,10010
K5,3,5,505,10010
D7,2,505,505,10010
K6,3,6,505,10010
D7,2,505,505,10010
K9,3,55,505,10010
D7,2,505,505,10010
K10,3,5,505,10010
D7,2,505,505,10010
L5,3,5,505,10010
D7,2,505,505,10010
L7,3,10010,505,10010
D7,2,10010,505,10010
D8,1,10010,-Infinity,10010
D9,2,-Infinity,-Infinity,10010
C7,3,55,-Infinity,10010
D9,2,55,55,10010
C8,3,10,55,10010
D9,2,55,55,10010
C9,3,10,55,10010
D9,2,55,55,10010
C10,3,5,55,10010
D9,2,55,55,10010
