Move,Depth,Value
root,0,-Infinity
F6,1,Infinity
E5,2,1
F6,1,1
E6,2,1
F6,1,1
E7,2,1
F6,1,1
F5,2,1
F6,1,1
F7,2,0
F6,1,0
F8,2,-9
F6,1,-9
F9,2,-9
F6,1,-9
F10,2,0
F6,1,-9
F11,2,0
F6,1,-9
G5,2,1
F6,1,-9
G6,2,1
F6,1,-9
G9,2,-14
F6,1,-14
G11,2,-4
F6,1,-14
H6,2,1
F6,1,-14
H7,2,-5
F6,1,-14
H11,2,-4
F6,1,-14
I7,2,-4
F6,1,-14
I10,2,0
F6,1,-14
I11,2,1
F6,1,-14
J7,2,1
F6,1,-14
J8,2,0
F6,1,-14
J9,2,0
F6,1,-14
J10,2,-9
F6,1,-14
root,0,-14
F7,1,Infinity
E6,2,5
F7,1,5
E7,2,5
F7,1,5
E8,2,5
F7,1,5
F6,2,5
F7,1,5
F8,2,-5
F7,1,-5
F9,2,-5
F7,1,-5
F10,2,4
F7,1,-5
F11,2,4
F7,1,-5
G6,2,5
F7,1,-5
G9,2,-10
F7,1,-10
G11,2,0
F7,1,-10
H6,2,5
F7,1,-10
H7,2,-1
F7,1,-10
H11,2,0
F7,1,-10
I7,2,0
F7,1,-10
I10,2,4
F7,1,-10
I11,2,5
F7,1,-10
J7,2,5
F7,1,-10
J8,2,4
F7,1,-10
J9,2,4
F7,1,-10
J10,2,-5
F7,1,-10
root,0,-10
F8,1,Infinity
E7,2,5
F8,1,5
E8,2,5
F8,1,5
E9,2,5
F8,1,5
F6,2,5
F8,1,5
F7,2,4
F8,1,4
F9,2,-5
F8,1,-5
F10,2,4
F8,1,-5
F11,2,4
F8,1,-5
G6,2,5
F8,1,-5
G9,2,-10
F8,1,-10
G11,2,0
F8,1,-10
H6,2,5
F8,1,-10
H7,2,-1
F8,1,-10
H11,2,0
F8,1,-10
I7,2,0
F8,1,-10
I10,2,4
F8,1,-10
I11,2,5
F8,1,-10
J7,2,5
F8,1,-10
J8,2,4
F8,1,-10
J9,2,4
F8,1,-10
J10,2,-5
F8,1,-10
root,0,-10
F9,1,Infinity
E8,2,0
F9,1,0
E9,2,0
F9,1,0
E10,2,0
F9,1,0
F6,2,0
F9,1,0
F7,2,-1
F9,1,-1
F8,2,-10
F9,1,-10
F10,2,-1
F9,1,-10
F11,2,-1
F9,1,-10
G6,2,0
F9,1,-10
G9,2,-15
F9,1,-15
G11,2,-5
F9,1,-15
H6,2,0
F9,1,-15
H7,2,-2
F9,1,-15
H11,2,-1
F9,1,-15
I7,2,-5
F9,1,-15
I10,2,-1
F9,1,-15
I11,2,0
F9,1,-15
J7,2,0
F9,1,-15
J8,2,-1
F9,1,-15
J9,2,-1
F9,1,-15
J10,2,-10
F9,1,-15
root,0,-10
F10,1,Infinity
E9,2,0
F10,1,0
E10,2,0
F10,1,0
E11,2,0
F10,1,0
F6,2,0
F10,1,0
F7,2,-1
F10,1,-1
F8,2,-10
F10,1,-10
F9,2,-10
F10,1,-10
F11,2,-1
F10,1,-10
G6,2,0
F10,1,-10
G9,2,-11
F10,1,-11
G11,2,-5
F10,1,-11
H6,2,0
F10,1,-11
H7,2,-6
F10,1,-11
H11,2,-5
F10,1,-11
I7,2,-5
F10,1,-11
I10,2,-1
F10,1,-11
I11,2,0
F10,1,-11
J7,2,0
F10,1,-11
J8,2,-1
F10,1,-11
J9,2,-1
F10,1,-11
J10,2,-10
F10,1,-11
root,0,-10
F11,1,Infinity
E10,2,0
F11,1,0
E11,2,0
F11,1,0
E12,2,0
F11,1,0
F6,2,0
F11,1,0
F7,2,-1
F11,1,-1
F8,2,-10
F11,1,-10
F9,2,-10
F11,1,-10
F10,2,-1
F11,1,-10
F12,2,0
F11,1,-10
G6,2,0
F11,1,-10
G9,2,-15
F11,1,-15
G11,2,-5
F11,1,-15
G12,2,0
F11,1,-15
H6,2,0
F11,1,-15
H7,2,-6
F11,1,-15
H11,2,-5
F11,1,-15
I7,2,-5
F11,1,-15
I10,2,-1
F11,1,-15
I11,2,0
F11,1,-15
J7,2,0
F11,1,-15
J8,2,-1
F11,1,-15
J9,2,-1
F11,1,-15
J10,2,-10
F11,1,-15
root,0,-10
G6,1,Infinity
F5,2,1
G6,1,1
F6,2,1
G6,1,1
F7,2,0
G6,1,0
F8,2,-9
G6,1,-9
F9,2,-9
G6,1,-9
F10,2,0
G6,1,-9
F11,2,0
G6,1,-9
G5,2,1
G6,1,-9
G9,2,-14
G6,1,-14
G11,2,-4
G6,1,-14
H5,2,1
G6,1,-14
H6,2,1
G6,1,-14
H7,2,-5
G6,1,-14
H11,2,-4
G6,1,-14
I7,2,-4
G6,1,-14
I10,2,0
G6,1,-14
I11,2,1
G6,1,-14
J7,2,1
G6,1,-14
J8,2,0
G6,1,-14
J9,2,0
G6,1,-14
J10,2,-9
G6,1,-14
root,0,-10
G9,1,Infinity
F6,2,6
G9,1,6
F7,2,5
G9,1,5
F8,2,-4
G9,1,-4
F9,2,-4
G9,1,-4
F10,2,5
G9,1,-4
F11,2,5
G9,1,-4
G6,2,6
G9,1,-4
G11,2,5
G9,1,-4
H6,2,6
G9,1,-4
H7,2,0
G9,1,-4
H11,2,1
G9,1,-4
I7,2,5
G9,1,-4
I10,2,5
G9,1,-4
I11,2,6
G9,1,-4
J7,2,6
G9,1,-4
J8,2,5
G9,1,-4
J9,2,5
G9,1,-4
J10,2,-4
G9,1,-4
root,0,-4
G11,1,Infinity
F6,2,1
G11,1,1
F7,2,0
G11,1,0
F8,2,-9
G11,1,-9
F9,2,-9
G11,1,-9
F10,2,0
G11,1,-9
F11,2,0
G11,1,-9
F12,2,1
G11,1,-9
G6,2,1
G11,1,-9
G9,2,-4
G11,1,-9
G12,2,1
G11,1,-9
H6,2,1
G11,1,-9
H7,2,-5
G11,1,-9
H11,2,-4
G11,1,-9
H12,2,1
G11,1,-9
I7,2,-4
G11,1,-9
I10,2,0
G11,1,-9
I11,2,1
G11,1,-9
J7,2,1
G11,1,-9
J8,2,0
G11,1,-9
J9,2,0
G11,1,-9
J10,2,-9
G11,1,-9
root,0,-4
H6,1,Infinity
F6,2,5
H6,1,5
F7,2,4
H6,1,4
F8,2,-5
H6,1,-5
F9,2,-5
H6,1,-5
F10,2,4
H6,1,-5
F11,2,4
H6,1,-5
G5,2,5
H6,1,-5
G6,2,5
H6,1,-5
G9,2,-10
H6,1,-10
G11,2,0
H6,1,-10
H5,2,5
H6,1,-10
H7,2,0
H6,1,-10
H11,2,0
H6,1,-10
I5,2,5
H6,1,-10
I6,2,5
H6,1,-10
I7,2,0
H6,1,-10
I10,2,4
H6,1,-10
I11,2,5
H6,1,-10
J7,2,5
H6,1,-10
J8,2,4
H6,1,-10
J9,2,4
H6,1,-10
